key,code,instantiation,providerName,customerName,goals,budget,draftMode,key:project,key:client
contract-01,DAN-001,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-02,AAA-000,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-03,A-000,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-04,AB-000,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,true,project-01,client-01
contract-05,ZZZ-999,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-06,DAN-002,2022/07/30 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-07,DAN-003,2022/07/29 23:59,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-08,DAN-004,2000/01/01 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-09,DAN-005,2000/01/01 00:01,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-10,DAN-006,2021/12/31 23:59,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-11,DAN-007,2020/02/29 21:39,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-13,DAN-009,2022/04/03 00:00,A,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-14,DAN-010,2022/04/03 00:00,AA,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-15,DAN-011,2022/04/03 00:00,Filler  title of project to reach seventy five characters in attribute name,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-16,DAN-012,2022/04/03 00:00,Filler  title of project to reach seventy four characters in attribute nam,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-17,DAN-013,2022/04/03 00:00,貸んい建濯よ芝弾テソ,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-18,DAN-014,2022/04/03 00:00,Λορεμ ιπσθμ δολορ,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-19,DAN-015,2022/04/03 00:00,<script> window.location = ‘https://example.com’; </script>,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-12,DAN-008,2022/04/03 00:00,' OR '1,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-20,DAN-016,2022/04/03 00:00,Tomás Huecas,B,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
