key,code,title,abstract$,has-errors,draft-mode,link,total-cost,remaining-cost,key:manager
project-01,ABC-0001,Title,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-02,ABC-0002,1,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-03,ABC-0003,12,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-04,ABC-0004,Este texto tiene 75 caracteres. Quiero probar los límites superiores.......,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-05,ABC-0005,Este texto tiene 74 caracteres. Quiero probar los límites superiores......,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-06,ABC-0006,<h1>hola</h1>,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-07,ABC-0007,"<script>alert(""hola"")</script>",Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-08,ABC-0008,你好,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-09,ABC-0009,Здравейте,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-10,ABC-0010,Title,1,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-11,ABC-0011,Title,12,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-12,ABC-0012,Title,Este texto tiene 100 caracteres. Quiero probar los límites superiores de un texto bastante largo....,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-13,ABC-0013,Title,Este texto tiene 99 caracteres. Quiero probar los límites superiores de un texto bastante largo...,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-14,ABC-0014,Title,<h1>hola</h1>,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-15,ABC-0015,Title,"<script>alert(""hola"")</script>",false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-16,ABC-0016,Title,你好,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-17,ABC-0017,Title,Здравейте,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-18,ABC-0018,Title,Abstract,true,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-19,ABC-0019,Title,Abstract,false,true,https://www.example.com,EUR 100,EUR 100,manager-01
project-20,ABC-0020,Title,Abstract,false,false,https://www.1.com,EUR 100,EUR 100,manager-01
project-21,ABC-0021,Title,Abstract,false,false,https://www.123121231231231231231231231231232131232131231232132131231232133333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333sasdd3333333333333333333333333333333333333333333313123123123123123ssadsadd.com,EUR 100,EUR 100,manager-01
project-22,ABC-0022,Title,Abstract,false,false,https://www.123121231231231231231231231231232131232131231232132131231232133333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333sasdd3333333333333333333333333333333333333333333313123123123123123ssadsad.com,EUR 100,EUR 100,manager-01
project-25,ABC-0025,Title,Abstract,false,false,https://www.你好.com,EUR 100,EUR 100,manager-01
project-26,ABC-0026,Title,Abstract,false,false,https://www.Здравейте.com,EUR 100,EUR 100,manager-01
project-27,ABC-0027,Title,Abstract,false,false,https://www.12.com,EUR 100,EUR 100,manager-01
project-28,ABC-0028,Title,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-01
project-29,ABC-0029,Title,Abstract,false,false,http://www.example.com,EUR 100,EUR 100,manager-01
project-30,ABC-0030,Title,Abstract,false,false,ftp://www.example.com,EUR 100,EUR 100,manager-01
project-31,ABC-0031,Title,Abstract,false,false,null,EUR 100,EUR 100,manager-01
project-32,ABC-0032,Title,Abstract,false,false,https://www.example.com,GBP 100,EUR 100,manager-01
project-33,ABC-0033,Title,Abstract,false,false,https://www.example.com,USD 100,EUR 100,manager-01
project-34,ABC-0034,Title,Abstract,false,false,https://www.example.com,EUR 0,EUR 100,manager-01
project-35,ABC-0035,Title,Abstract,false,false,https://www.example.com,EUR 0.01,EUR 100,manager-01
project-36,ABC-0036,Title,Abstract,false,false,https://www.example.com,EUR 9999999999.99,EUR 100,manager-01
project-37,ABC-0037,Title,Abstract,false,false,https://www.example.com,EUR 9999999999.98,EUR 100,manager-01
project-38,ABC-0038,Title,Abstract,false,false,https://www.example.com,EUR 100,GBP 100,manager-01
project-39,ABC-0039,Title,Abstract,false,false,https://www.example.com,EUR 100,USD 100,manager-01
project-40,ABC-0040,Title,Abstract,false,false,https://www.example.com,EUR 100,EUR 0,manager-01
project-41,ABC-0041,Title,Abstract,false,false,https://www.example.com,EUR 100,EUR 0.01,manager-01
project-42,ABC-0042,Title,Abstract,false,false,https://www.example.com,EUR 100,EUR 9999999999.99,manager-01
project-43,ABC-0043,Title,Abstract,false,false,https://www.example.com,EUR 100,EUR 9999999999.98,manager-01
project-44,ABC-0044,Title,Abstract,false,false,https://www.example.com,EUR 100,EUR 100,manager-02
