key,reference,identificationDate,impact,probability,description,link,key:project
risk-01,R-001,2011/05/15 08:27,0.74,0.74,Descripción de riesgo 1,https://risk.com/risk-01,project-02
risk-02,R-002,2007/08/22 17:13,0.72,0.22,Descripción de riesgo 2,https://risk.com/risk-02,project-01
risk-03,R-003,2021/11/02 17:00,0.22,0.5,"<script>alert(""hi!"")</script>",https://risk.com-03,project-02
risk-04,R-004,2019/09/11 10:45,0.5,0.63,Descripción de riesgo 3,https://risk.com/risk-04,project-01
risk-05,R-005,2010/06/17 02:18,0.63,0.19,Descripción de riesgo 4,https://risk.com/risk-05,project-02
risk-06,R-006,2006/11/30 12:04,0.19,0.45,Descripción de riesgo 5,https://risk.com/risk-06,project-02
risk-07,R-007,2021/08/21 17:00,0.45,0.5,Descripción de riesgo 6,ftp://user:pass@acme.com,project-01
risk-08,R-008,2013/03/26 20:52,0.5,0.87,Descripción de riesgo 7,https://risk.com/risk-08,project-01
risk-09,R-009,2017/07/05 09:30,0.87,0.71,Descripción de riesgo 8,https://risk.com/risk-09,project-01
risk-10,R-010,2016/11/21 17:00,0.71,0.1,Descripción de riesgo 9,https://risk.com/risk-10,project-02
risk-11,R-322,2015/10/28 17:00,0.1,0.99,Descripción de riesgo 10,https://risk.com/risk-11,project-02
risk-12,R-012,2014/09/26 17:00,0.99,0.98,A,https://risk.com/risk-12,project-01
risk-13,R-013,2013/06/25 17:00,0.98,0.01,Esto es un description de exactamente 100 caracteres - - - - - - - - - - - - - - - - - - - - - - - -,https://risk.com/risk-13,project-01
risk-14,R-014,2012/05/24 17:00,0.01,0.02,Esto es un description de exactamente 99 caracteres - - - - - - - - - - - - - - - - - - - - - - - -,https://risk.com/risk-14,project-01
risk-15,R-015,2011/02/22 17:00,0.02,0.20,Esto es un description de 50 caracteres - - - - -,https://risk.com/risk-15,project-01
risk-16,R-016,2010/03/23 17:00,0.20,0.90,專業實踐,https://risk.com/risk-16,project-01
risk-17,R-017,2021/03/21 17:00,0.90,0.91,deTAILS032,https://risk.com/x?z,project-01
risk-18,R-018,2012/10/08 05:49,0.91,0.39,περίληψη πρακτικής323,https://risk.com/risk-18,project-01
risk-19,R-019,2003/07/01 17:00,0.39,0.55,<h2>Hola DP2!</h2>,https://risk.com/risk-algo,project-01
risk-20,R-000,2002/08/29 17:00,0.55,0.63,L,ftp://a,project-01
risk-21,R-011,2002/08/29 17:00,0.63,0.69,Lo,,project-02
risk-22,R-111,2002/08/29 17:00,0.69,0.84,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore",ftp://a.b,project-01
risk-23,R-222,2002/08/29 17:00,0.84,0.94,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore*","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",project-01
risk-24,R-900,2002/08/29 17:00,0.94,0.23,국민경제의 발전을,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",project-02
risk-25,R-901,2002/08/29 17:00,0.23,0.54,العظمى واعتلاء,https://www.lorem-ipsum.org,project-01
risk-26,R-990,2002/08/29 17:00,0.54,0.67,Lorem ipsum,ftp://www.lorem-ipsum.org,project-02
risk-27,R-999,2000/01/01 00:00,0.67,0.75,Pochita feroz,http://www.lorem-ipsum.org/dolor/sit.html,project-01
risk-28,R-998,2000/01/01 00:02,0.75,0.43,Tengo muchos leslies en mi grupo,http://www.lorem-ipsum.org/dolor/sit.html#dolor,project-01
risk-29,R-110,2000/01/01 00:01,0.43,0.21,Los unicornios dominaran el mundo,http://example.org?a=1&b=2,project-01
risk-30,R-888,2012/11/22 16:22,0.21,0.11,Me gustan los gatos,http://example.org?,project-02
risk-31,R-232,2000/01/01 00:00,0.11,0.66,detalles3,http://example.org?a,project-01
